"Identification","TrackNumber","MeanNoBgCorrectedCh00","MeanNoBgCorrectedCh01","AreaMorphologyCh01","TimePoint","Time","Position","Cell","Cytokine","CellType","Experiment","relSignal","base.sd","trace_1_3.sd","trace_2_3.sd","trace_3_3.sd","trace.sd","expression_t0","AUC","resp.score","sustra.score","n.peaks","ACFx","ACFy","ACFy_nobs","ACF.AUC","ACF.diff.AUC","nACpeaks","ACpeak.hight_1","ACpeak.steepness_1","acf.freq.peak_1","ACpeak.hight_2","ACpeak.steepness_2","acf.freq.peak_2","ACpeak.hight_3","ACpeak.steepness_3","acf.freq.peak_3","log_AUC","log_base.sd","log_trace_1_3.sd","log_trace_2_3.sd","log_trace_3_3.sd","log_trace.sd","log_expression_t0","log_resp.score","log_sustra.score","log_n.peaks","log_ACF.AUC","log_ACF.diff.AUC","log_nACpeaks","log_ACpeak.hight_1","log_ACpeak.hight_2","log_ACpeak.hight_3","log_ACpeak.steepness_1","log_ACpeak.steepness_2","log_ACpeak.steepness_3","log_acf.freq.peak_1","log_acf.freq.peak_2","log_acf.freq.peak_3","ResponseType","fNON","fSUS","fTRA","fOSC","fNON_rep","fSUS_rep","fTRA_rep","fOSC_rep"
"180823TK20_p0017-050TK",1,0.148865,0.261713,60,1,0,17,50,"TNF","GMP+/-","180823TK20",0.981842801802528,0.0324638478361454,0.607430604878325,0.321931536346512,0.189370801347961,0.523899283341753,0.1382123,4.08022113587256,8.99005001863727,-0.0300219505244183,2,1,1,1,0.111811741316599,-0.0284339993755351,0,0,0,22.3445595854922,0,0,31.1824104234528,0,0,36.6363636363636,2.3448912971319,0.0460912659443413,0.6847564556503,0.402647460710158,0.250198563584811,0.607767556226946,0.186769675035758,3.32049190138699,-0.0426750826272196,1.58496250072116,0.152912522897649,-0.0404492106553423,0,0,0,0,0,0,0,4.54501446608388,5.00820048110186,5.23405533886203,"transient",0.072463768115942,0.0193236714975845,0.550724637681159,0.357487922705314,0.0425531914893617,0.0106382978723404,0.340425531914894,0.606382978723404
"180823TK20_p0017-052TK",1,0.176063,0.273593,60,1,0,17,52,"TNF","GMP+/-","180823TK20",0.895701572254653,0.22887731713815,0.297107155066505,0.246859707438705,0.128892279751823,0.333825994643325,0.1848551,-0.836751472455916,4.41073014604028,-0.422143832943033,4,1,1,1,0.108559484766037,-0.0296681157272919,0,0,0,22.3445595854922,0,0,31.1824104234528,0,0,36.6363636363636,-0.877156431178918,0.297340893911516,0.375297666711732,0.318299146989007,0.174907828996481,0.415570470841053,0.244710637778883,2.43582329035425,-0.508067383789846,2.32192809488736,0.148686186600747,-0.0421794005627244,0,0,0,0,0,0,0,4.54501446608388,5.00820048110186,5.23405533886203,"transient",0.072463768115942,0.0193236714975845,0.550724637681159,0.357487922705314,0.0425531914893617,0.0106382978723404,0.340425531914894,0.606382978723404
"180823TK20_p0017-053TK",1,0.187373,0.357294,73,1,0,17,53,"TNF","GMP+/-","180823TK20",1.01564719356115,0.182999898150247,0.496768646801771,0.223668308840348,0.207224376578337,0.493406230775096,0.1758392,0.657629370257666,7.35103456414181,-0.248183053239978,4,1,1,1,0.101184773089712,-0.0287523629758224,0,0,0,22.3445595854922,0,0,31.1824104234528,0,0,36.6363636363636,0.729121470365447,0.242449949469637,0.581851243503365,0.291212549827094,0.271693842532583,0.578606655363657,0.233690780221688,3.06195493628136,-0.3198295292606,2.32192809488736,0.139056565954355,-0.0408957444253559,0,0,0,0,0,0,0,4.54501446608388,5.00820048110186,5.23405533886203,"transient",0.072463768115942,0.0193236714975845,0.550724637681159,0.357487922705314,0.0425531914893617,0.0106382978723404,0.340425531914894,0.606382978723404
"180823TK20_p0017-058TK",1,0.158141,0.304869,73.5,1,0,17,58,"TNF","GMP+/-","180823TK20",0.86985493440364,0.0739014208506708,0.523346396175034,0.288981371028237,0.169283485009853,0.368503833390232,0.1684269,3.41504617551234,7.56696243344012,0.0595233983128477,5,1,1,1,0.0187015845286919,-0.0282951277613428,2,0.36274061884495,0.0604567698074916,16,0.374037449386025,0.0534339213408608,31,0,0,36.6363636363636,2.14242852662443,0.10286156671511,0.607244035863812,0.366231413335413,0.225624744100827,0.452599475919772,0.224567477974923,3.09878376221083,0.0834154482642785,2.58496250072116,0.0267314945140997,-0.0402543873441181,1.58496250072116,0.446510988763224,0.458421325340314,0,0.0846858096892445,0.0750998211853975,0,4.08746284125034,5,5.23405533886203,"oscillatory",0.072463768115942,0.0193236714975845,0.550724637681159,0.357487922705314,0.0425531914893617,0.0106382978723404,0.340425531914894,0.606382978723404
"180823TK20_p0017-060TK",1,0.108683,0.305882,54,1,0,17,60,"TNF","GMP+/-","180823TK20",0.920495660725052,0.126980703742012,0.870572120354208,0.294895110094115,0.64094988914869,0.658123781166292,0.09946414,12.2173576560795,12.8974134549854,0.266783843192094,5,1,1,1,0.0190394950848474,-0.0239741317180839,2,0.129957064933847,0.0259914129867694,14,0.220945063839718,0.0315635805485312,27,0,0,36.6363636363636,3.72436188463069,0.172462813776298,0.90347959041242,0.37283524055606,0.714531182921994,0.729551709975423,0.136800550179376,3.79674449273537,0.341170372182491,2.58496250072116,0.0272099673612883,-0.0341792695240127,1.58496250072116,0.176267955486644,0.287998288032906,0,0.0370186563901461,0.0448327446516317,0,3.90689059560852,4.8073549220576,5.23405533886203,"oscillatory",0.072463768115942,0.0193236714975845,0.550724637681159,0.357487922705314,0.0425531914893617,0.0106382978723404,0.340425531914894,0.606382978723404
"180823TK20_p0017-061TK",1,0.157595,0.256784,60.5,1,0,17,61,"TNF","GMP+/-","180823TK20",1.3104171453288,0.173083895682252,0.869875144933744,0.558234798668321,0.388037660820448,0.677231231920937,0.11632713,6.61830412681084,12.8242600865553,0.123784166079837,7,1,1,1,0.0663528181313421,-0.0272048555782991,3,0.15140715781479,0.025234526302465,16,0.00445742015387512,0.00148580671795837,23,0.00169819323281657,0.000849096616408286,36,2.92946988221523,0.23030619457406,0.90294194187841,0.639912638631806,0.473046712254644,0.746081600141881,0.158759858414154,3.78913036030041,0.168364978239965,3,0.092684853437308,-0.0387239271816701,2,0.203398086024203,0.00641640823759781,0.0024478970421437,0.0359539694684339,0.00214197509698708,0.00122446770557033,4.08746284125034,4.58496250072116,5.20945336562895,"oscillatory",0.072463768115942,0.0193236714975845,0.550724637681159,0.357487922705314,0.0425531914893617,0.0106382978723404,0.340425531914894,0.606382978723404
"180823TK20_p0017-062TK",1,0.222376,0.272203,70.5,1,0,17,62,"TNF","GMP+/-","180823TK20",1.30486031114406,0.252664442194834,0.363939210102361,0.142515122866975,0.146568243920672,0.300455801406735,0.176809,-0.977274066886302,3.92278699777746,-0.228067503313643,7,1,1,1,0.0771476870622679,-0.0251735732798908,2,0.0302279701036508,0.00503799501727513,20,0.0550806103989769,0.00918010173316282,39,0,0,36.6363636363636,-0.983512854645237,0.325000004112387,0.447779345800336,0.192213261599138,0.197322226908094,0.379017367235615,0.234880185190865,2.29947531749311,-0.296389863655368,3,0.107216070480913,-0.0358681947161404,1.58496250072116,0.0429636140556636,0.0773532281079067,0,0.00725004288366235,0.0131836657135142,0,4.39231742277876,5.32192809488736,5.23405533886203,"transient",0.072463768115942,0.0193236714975845,0.550724637681159,0.357487922705314,0.0425531914893617,0.0106382978723404,0.340425531914894,0.606382978723404
"180823TK20_p0017-064TK",1,0.1387,0.349088,44.5,1,0,17,64,"TNF","GMP+/-","180823TK20",0.649913894098152,0.175451580845482,0.648959496197251,0.394099346844349,0.164553458547762,0.465871958289275,0.1586465,3.84956265121274,9.51625793111007,0.131217736621404,4,1,1,1,0.0319240687373376,-0.025793781977166,2,0.304036512698765,0.0506727521164608,16,0.394636878675797,0.0493296098344746,31,0,0,36.6363636363636,2.27785464639736,0.233215112778428,0.721555961933033,0.479333374759155,0.219776867639405,0.551759091733262,0.212440471014136,3.39454952721365,0.177876645782523,2.32192809488736,0.0453368179643659,-0.0367407313139126,1.58496250072116,0.382984265237674,0.479889536729626,0,0.071313390122766,0.0694679207949524,0,4.08746284125034,5,5.23405533886203,"oscillatory",0.072463768115942,0.0193236714975845,0.550724637681159,0.357487922705314,0.0425531914893617,0.0106382978723404,0.340425531914894,0.606382978723404
"180823TK20_p0018-001TK",1,0.280296,0.294182,45,1,0,18,1,"TNF","GMP+/+","180823TK20",0.960942020169996,0.157235621701955,0.261261313948877,0.148995415342083,0.114468232164875,0.283376059070583,0.2583475,-3.04807738608639,2.40710942176636,-1.05266839554262,6,1,1,1,0.062980512891731,-0.0270474473628797,0,0,0,22.3445595854922,0,0,31.1824104234528,0,0,36.6363636363636,-2.01723686993734,0.21068263769729,0.334867210861645,0.200373041433603,0.156355493267565,0.359943975618734,0.331530385887181,1.76854828136579,-1.03750058178323,2.8073549220576,0.0881151488801569,-0.0385028325752286,0,0,0,0,0,0,0,4.54501446608388,5.00820048110186,5.23405533886203,"non-responsive",0.115,0.02,0.2,0.665,0.072289156626506,0.0120481927710843,0.0481927710843374,0.867469879518072
"180823TK20_p0018-002TK",1,0.187462,0.270312,55.5,1,0,18,2,"TNF","GMP+/+","180823TK20",1.19560589337182,0.159753590084805,0.592137257255857,0.40226321929393,0.255829481784861,0.450276459475284,0.12826259,2.39821416309169,7.76641254004389,0.0333654500097933,8,1,1,1,0.0485263761269041,-0.0232680862740407,3,0.390014587766917,0.0650024312944862,14,0.391817569035532,0.0653029281725887,26,0.319911872392165,0.0533186453986942,39,1.76477677727024,0.213818312141211,0.67096471516956,0.487757183533089,0.328640586455572,0.536327940720508,0.174102877313284,3.13198657248237,0.0473505539878591,3.16992500144231,0.0683631534982752,-0.0331841666561685,2,0.475100023659973,0.476970123905171,0.400441607229815,0.0908567239839721,0.091263731699359,0.0749419402525447,3.90689059560852,4.75488750216347,5.32192809488736,"oscillatory",0.115,0.02,0.2,0.665,0.072289156626506,0.0120481927710843,0.0481927710843374,0.867469879518072
