threshold,f1,tp,fp,fn,merges,splits,val
0.85,0.2955665024615982,30,83,60,0,0,11
0.9,0.0886699507384794,9,104,81,0,0,11
0.5,0.9709543568424442,117,5,2,1,0,11
0.55,0.9543568464690692,115,7,4,1,0,11
0.6,0.9045643153489438,109,13,10,1,0,11
0.65,0.8630705394155059,104,18,15,1,0,11
0.7,0.8298755186687558,100,22,19,1,0,11
0.75,0.7136929460551299,86,36,33,1,0,11
0.8,0.5311203319480037,64,58,55,1,0,11
0.85,0.3319502074675023,40,82,79,1,0,11
0.9,0.1576763485470635,19,103,100,1,0,11
0.5,0.9450549450497524,86,7,3,1,0,11
0.55,0.934065934060802,85,8,4,1,0,11
0.6,0.90109890109395,82,11,7,1,0,11
0.65,0.8791208791160489,80,13,9,1,0,11
0.7,0.8241758241712958,75,18,14,1,0,11
0.75,0.6813186813149379,62,31,27,1,0,11
0.8,0.4175824175801232,38,55,51,1,0,11
0.85,0.2637362637348146,24,69,65,1,0,11
0.9,0.0659340659337036,6,87,83,1,0,11
0.5,0.9139072847621597,69,9,4,1,0,11
0.55,0.9006622516496645,68,10,5,1,0,11
0.6,0.8741721854246745,66,12,7,1,0,11
0.65,0.8344370860871893,63,15,10,1,0,11
0.7,0.794701986749704,60,18,13,1,0,11
0.75,0.7019867549622385,53,25,20,1,0,11
0.8,0.5430463576122977,41,37,32,1,0,11
0.85,0.3576158940373668,27,51,46,1,0,11
0.9,0.1324503311249506,10,68,63,1,0,11
0.5,0.937799043057714,98,13,0,0,0,11
0.55,0.9186602870769442,96,15,2,0,0,11
0.6,0.9186602870769442,96,15,2,0,0,11
0.65,0.9186602870769442,96,15,2,0,0,11
0.7,0.8899521531057898,93,18,5,0,0,11
0.75,0.8325358851634808,87,24,11,0,0,11
0.8,0.6315789473653992,66,45,32,0,0,11
0.85,0.4784688995192418,50,61,48,0,0,11
0.9,0.1626794258365422,17,94,81,0,0,11
0.5,0.9424460431620776,131,11,5,2,0,11
0.55,0.9136690647449148,127,15,9,2,0,11
0.6,0.8992805755363336,125,17,11,2,0,11
0.65,0.8561151079105895,119,23,17,2,0,11
0.7,0.8417266187020082,117,25,19,2,0,11
0.75,0.7194244604290668,100,42,36,2,0,11
0.8,0.5755395683432535,80,62,56,2,0,11
0.85,0.3309352517973707,46,96,90,2,0,11
0.9,0.10791366906436,15,127,121,2,0,11
0.5,0.9145299145260064,107,13,7,2,0,11
0.55,0.9059829059790344,106,14,8,2,0,11
0.6,0.8888888888850902,104,16,10,2,0,11
0.65,0.8547008546972021,100,20,14,2,0,11
0.7,0.8205128205093141,96,24,18,2,0,11
0.75,0.7350427350395938,86,34,28,2,0,11
0.8,0.5470085470062094,64,56,50,2,0,11
0.85,0.3076923076909927,36,84,78,2,0,11
0.9,0.1196581196576083,14,106,100,2,0,11
0.5,0.9494163424087572,122,9,4,0,0,11
0.55,0.9182879377396176,118,13,8,0,0,11
0.6,0.8715953307359082,112,19,14,0,0,11
0.65,0.8249027237321989,106,25,20,0,0,11
0.7,0.7626459143939197,98,33,28,0,0,11
0.75,0.6770428015537858,87,44,39,0,0,11
0.8,0.6070038910482218,78,53,48,0,0,11
0.85,0.3813229571969598,49,82,77,0,0,11
0.9,0.1167315175092734,15,116,111,0,0,11
0.5,0.9444444444391976,85,8,2,0,0,12
0.55,0.9222222222170988,83,10,4,0,0,12
0.6,0.9111111111060496,82,11,5,0,0,12
0.65,0.8777777777729013,79,14,8,0,0,12
0.7,0.8111111111066049,73,20,14,0,0,12
0.75,0.6222222222187654,56,37,31,0,0,12
0.8,0.522222222219321,47,46,40,0,0,12
0.85,0.288888888887284,26,67,61,0,0,12
0.9,0.0444444444441975,4,89,83,0,0,12
0.5,0.9424083769584168,90,8,3,0,1,12
0.55,0.9214659685815628,88,10,5,0,1,12
0.6,0.9214659685815628,88,10,5,0,1,12
0.65,0.9005235602047094,86,12,7,0,1,12
0.7,0.8376963350741482,80,18,13,0,1,12
0.75,0.7225130890014528,69,29,24,0,1,12
0.8,0.4921465968560621,47,51,46,0,1,12
0.85,0.2931937172759519,28,70,65,0,1,12
0.9,0.0942408376958416,9,89,84,0,1,12
0.5,0.8775510204036858,86,20,4,0,0,12
0.55,0.8775510204036858,86,20,4,0,0,12
0.6,0.867346938771085,85,21,5,0,0,12
0.65,0.8469387755058829,83,23,7,0,0,12
0.7,0.7653061224450749,75,31,15,0,0,12
0.75,0.6632653061190649,65,41,25,0,0,12
0.8,0.5408163265278529,53,53,37,0,0,12
0.85,0.295918367345429,29,77,61,0,0,12
0.9,0.081632653060808,8,98,82,0,0,12
0.5,0.9707112970670682,116,4,3,1,0,12
0.55,0.9623430962302832,115,5,4,1,0,12
0.6,0.9288702928831428,111,9,8,1,0,12
0.65,0.8702928870256473,104,16,15,1,0,12
0.7,0.8535564853520772,102,18,17,1,0,12
0.75,0.7447698744738713,89,31,30,1,0,12
0.8,0.59414225941174,71,49,48,1,0,12
0.85,0.2928870292874774,35,85,84,1,0,12
0.9,0.125523012551776,15,105,104,1,0,12
0.5,0.9060773480612924,82,10,7,1,0,12
0.55,0.9060773480612924,82,10,7,1,0,12
0.6,0.8950276243044474,81,11,8,1,0,12
0.65,0.8618784530339123,78,14,11,1,0,12
0.7,0.8287292817633772,75,17,14,1,0,12
0.75,0.6740331491675469,61,31,28,1,0,12
0.8,0.4640883977874912,42,50,47,1,0,12
0.85,0.3093922651916608,28,64,61,1,0,12
0.9,0.0552486187842251,5,87,84,1,0,12
0.5,0.9150326797325816,70,10,3,1,0,12
