f1,tp,fp,fn,splits,merges,inaccurate_masks
0.848484848459137,14,2,0,0,0,3
0.9411764705605538,16,1,0,0,0,1
0.8749999999726563,14,1,0,0,0,3
0.9411764705605538,16,1,0,0,0,1
0.909090909063361,15,1,0,0,0,2
0.9714285714008164,17,1,0,0,0,0
0.9411764705605538,16,1,0,0,0,1
0.909090909063361,15,1,0,0,0,2
0.909090909063361,15,1,0,0,0,2
0.9032258064224766,14,0,0,0,0,3
0.9032258064224766,14,0,0,0,0,3
0.909090909063361,15,1,0,0,0,2
0.9374999999707032,15,0,0,0,0,2
0.9032258064224766,14,0,0,0,0,3
0.969696969667585,16,0,0,0,0,1
0.9374999999707032,15,0,0,0,0,2
0.9032258064224766,14,0,0,0,0,3
0.9032258064224766,14,0,0,0,0,3
0.9411764705605538,16,1,0,0,0,1
0.9374999999707032,15,0,0,0,0,2
0.9032258064224766,14,0,0,0,0,3
0.9032258064224766,14,0,0,0,0,3
0.9032258064224766,14,0,0,0,0,3
0.8275862068680143,12,0,0,0,0,5
0.8666666666377778,13,0,0,0,0,4
0.9032258064224766,14,0,0,0,0,3
0.8275862068680143,12,0,0,0,0,5
0.9032258064224766,14,0,0,0,0,3
0.9374999999707032,15,0,0,0,0,2
0.9374999999707032,15,0,0,0,0,2
0.9032258064224766,14,0,0,0,0,3
0.9374999999707032,15,0,0,0,0,2
0.8666666666377778,13,0,0,0,0,4
0.8666666666377778,13,0,0,0,0,4
0.9374999999707032,15,0,0,0,0,2
0.9374999999707032,15,0,0,0,0,2
0.9374999999707032,15,0,0,0,0,2
0.7857142856862245,11,0,0,0,0,6
0.9374999999707032,15,0,0,0,0,2
0.9032258064224766,14,0,0,0,0,3
0.8387096773922997,13,0,0,0,0,5
0.8124999999746094,13,1,1,0,0,4
0.9142857142595919,16,1,1,0,0,1
0.848484848459137,14,1,1,0,0,3
0.8823529411505191,15,1,1,0,0,2
0.848484848459137,14,1,1,0,0,3
0.8749999999726563,14,0,0,0,0,4
0.8124999999746094,13,1,1,0,0,4
0.909090909063361,15,0,0,0,0,3
0.7586206896290131,11,0,0,0,0,7
0.909090909063361,15,0,0,0,0,3
0.7999999999733334,12,0,0,0,0,6
0.909090909063361,15,0,0,0,0,3
0.7999999999733334,12,0,0,0,0,6
0.909090909063361,15,0,0,0,0,3
0.8387096773922997,13,0,0,0,0,5
0.909090909063361,15,0,0,0,0,3
0.909090909063361,15,0,0,0,0,3
0.8387096773922997,13,0,1,0,0,4
0.909090909063361,15,0,0,0,0,3
0.8387096773922997,13,0,0,0,0,5
0.8749999999726563,14,0,1,0,0,3
