Identification,TrackNumber,MeanNoBgCorrectedCh00,MeanNoBgCorrectedCh01,SumNoBgCorrectedCh00,SumNoBgCorrectedCh01,AreaMorphologyCh01,TimePoint,Time,Position,Cell,Cytokine,CellType,Experiment,relSignal,MeanNoBgCorrectedCh00_norm,base_sd,trace_1_3_sd,trace_2_3_sd,trace_3_3_sd,trace_sd,expression_t0,AUC,resp_score,sustra_score,npeaks,ACFx,ACFy,ACFy_nobs,ACF_AUC,ACF_diff_AUC,nACpeaks,ACpeak_height_1,ACpeak_steepness_1,acf_freq_peak_1,ACpeak_height_2,ACpeak_steepness_2,acf_freq_peak_2,ACpeak_height_3,ACpeak_steepness_3,acf_freq_peak_3,osc_score,ResponseType,Set,Setup,Theta
200925SK30_p0013-001DS,1,0.9138248452116208,0.302029,109.525,104.804,316.0,104,12.0865310077519,13,1,unknown,preOsteoclast,200925SK30,0.894483954424352,0.198867237648104,0.0226357741849657,0.0990074792534047,0.021513072710379,0.074770555315858,0.0785263659612496,0.275612245667348,5.19101738887414,1.4180828897506597,0.7447790882132271,6,24.953488372093,-0.0630837586302601,-0.0611024850818213,0.098460364754023,-0.0242307385307488,1,0.0726589528157961,0.0060549127346496,37,0.0,0.0,0,0.0,0.0,0,0.435953716894776,transient,pred,30,0.6
200925SK30_p0013-001DS,1,0.97165636352582,0.310386,104.039,96.2196,281.5,105,12.2038759689922,13,1,unknown,preOsteoclast,200925SK30,0.92548378225584,0.250370253194608,0.0226357741849657,0.0990074792534047,0.021513072710379,0.074770555315858,0.0785263659612496,0.275612245667348,5.19101738887414,1.4180828897506597,0.7447790882132271,6,25.186046511627893,-0.0630906400287737,-0.0598990329070086,0.098460364754023,-0.0242307385307488,1,0.0726589528157961,0.0060549127346496,37,0.0,0.0,0,0.0,0.0,0,0.435953716894776,transient,pred,30,0.6
200925SK30_p0013-001DS,1,0.94108021008821,0.30448,98.1647,91.9529,273.5,106,12.3212209302326,13,1,unknown,preOsteoclast,200925SK30,0.913747301601494,0.223140048078882,0.0226357741849657,0.0990074792534047,0.021513072710379,0.074770555315858,0.0785263659612496,0.275612245667348,5.19101738887414,1.4180828897506597,0.7447790882132271,6,25.4186046511628,-0.0629110294323052,-0.0585656961789206,0.098460364754023,-0.0242307385307488,1,0.0726589528157961,0.0060549127346496,37,0.0,0.0,0,0.0,0.0,0,0.435953716894776,transient,pred,30,0.6
200925SK30_p0013-001DS,1,0.951830068786614,0.30077,107.176,98.051,297.0,107,12.4385658914729,13,1,unknown,preOsteoclast,200925SK30,0.935584766933072,0.232713549792232,0.0226357741849657,0.0990074792534047,0.021513072710379,0.074770555315858,0.0785263659612496,0.275612245667348,5.19101738887414,1.4180828897506597,0.7447790882132271,6,25.651162790697693,-0.0627314188358367,-0.0572323594508326,0.098460364754023,-0.0242307385307488,1,0.0726589528157961,0.0060549127346496,37,0.0,0.0,0,0.0,0.0,0,0.435953716894776,transient,pred,30,0.6
200925SK30_p0013-001DS,1,0.940382468115058,0.29593,102.639,93.5137,287.0,108,12.5559108527132,13,1,unknown,preOsteoclast,200925SK30,0.939450208862399,0.222518660006456,0.0226357741849657,0.0990074792534047,0.021513072710379,0.074770555315858,0.0785263659612496,0.275612245667348,5.19101738887414,1.4180828897506597,0.7447790882132271,6,25.8837209302326,-0.0625518082393682,-0.0558990227227446,0.098460364754023,-0.0242307385307488,1,0.0726589528157961,0.0060549127346496,37,0.0,0.0,0,0.0,0.0,0,0.435953716894776,transient,pred,30,0.6
200925SK30_p0013-001DS,1,0.944262029293582,0.303215,105.02,97.6353,292.5,109,12.6732558139535,13,1,unknown,preOsteoclast,200925SK30,0.920661710954297,0.225973680824094,0.0226357741849657,0.0990074792534047,0.021513072710379,0.074770555315858,0.0785263659612496,0.275612245667348,5.19101738887414,1.4180828897506597,0.7447790882132271,6,26.1162790697674,-0.0619434150440353,-0.054219766568365,0.098460364754023,-0.0242307385307488,1,0.0726589528157961,0.0060549127346496,37,0.0,0.0,0,0.0,0.0,0,0.435953716894776,transient,pred,30,0.6
200925SK30_p0013-001DS,1,0.935090051820772,0.307861,104.969,100.055,295.5,110,12.7906007751938,13,1,unknown,preOsteoclast,200925SK30,0.8979600151055591,0.2178053928015,0.0226357741849657,0.0990074792534047,0.021513072710379,0.074770555315858,0.0785263659612496,0.275612245667348,5.19101738887414,1.4180828897506597,0.7447790882132271,6,26.348837209302307,-0.0609062392498379,-0.0521945909876938,0.098460364754023,-0.0242307385307488,1,0.0726589528157961,0.0060549127346496,37,0.0,0.0,0,0.0,0.0,0,0.435953716894776,transient,pred,30,0.6
200925SK30_p0013-001DS,1,0.91803735380472,0.315396,102.737,102.188,294.0,111,12.9079457364341,13,1,unknown,preOsteoclast,200925SK30,0.8605228541248829,0.20261877144636,0.0226357741849657,0.0990074792534047,0.021513072710379,0.074770555315858,0.0785263659612496,0.275612245667348,5.19101738887414,1.4180828897506597,0.7447790882132271,6,26.5813953488372,-0.0598690634556405,-0.0501694154070226,0.098460364754023,-0.0242307385307488,1,0.0726589528157961,0.0060549127346496,37,0.0,0.0,0,0.0,0.0,0,0.435953716894776,transient,pred,30,0.6
200925SK30_p0013-001DS,1,0.941025201384933,0.303318,110.835,103.431,311.5,112,13.0252906976744,13,1,unknown,preOsteoclast,200925SK30,0.917194217963222,0.223091058977737,0.0226357741849657,0.0990074792534047,0.021513072710379,0.074770555315858,0.0785263659612496,0.275612245667348,5.19101738887414,1.4180828897506597,0.7447790882132271,6,26.813953488372107,-0.0588318876614431,-0.0481442398263514,0.098460364754023,-0.0242307385307488,1,0.0726589528157961,0.0060549127346496,37,0.0,0.0,0,0.0,0.0,0,0.435953716894776,transient,pred,30,0.6
200925SK30_p0013-001DS,1,0.913746674949069,0.298968,102.573,97.1647,296.0,113,13.1426356589147,13,1,unknown,preOsteoclast,200925SK30,0.903564877438838,0.198797621557003,0.0226357741849657,0.0990074792534047,0.021513072710379,0.074770555315858,0.0785263659612496,0.275612245667348,5.19101738887414,1.4180828897506597,0.7447790882132271,6,27.046511627907,-0.0576916615259902,-0.0460442353413274,0.098460364754023,-0.0242307385307488,1,0.0726589528157961,0.0060549127346496,37,0.0,0.0,0,0.0,0.0,0,0.435953716894776,transient,pred,30,0.6
